**********************************************
*************** Resumen global ***************
**********************************************

+-----+--------------------------+-----------+--------+--------+-----------+
|     |       Experimento        | Precisión | Recall | mAP@50 | mAP@50-95 |
+-----+--------------------------+-----------+--------+--------+-----------+
| 110 | coco_20_DA_DM_segun_size |    pizza     |   0.559   | 0.517  | 0.511  |   0.362   |
| 111 | coco_20_DA_DM_segun_size |    donut     |   0.405   |  0.32  |  0.3   |   0.232   |
| 112 | coco_20_DA_DM_segun_size |     cake     |   0.446   | 0.195  | 0.235  |   0.147   |
| 113 | coco_20_DA_DM_segun_size |    chair     |   0.387   | 0.195  | 0.203  |   0.118   |
| 114 | coco_20_DA_DM_segun_size |    couch     |   0.425   | 0.444  | 0.396  |   0.268   |
| 115 | coco_20_DA_DM_segun_size |     bed      |   0.485   | 0.462  | 0.451  |   0.304   |
| 116 | coco_20_DA_DM_segun_size |    toilet    |   0.494   | 0.581  | 0.558  |   0.441   |
| 117 | coco_20_DA_DM_segun_size |      tv      |   0.525   | 0.528  | 0.531  |   0.39    |
| 118 | coco_20_DA_DM_segun_size |    laptop    |   0.519   | 0.442  | 0.475  |   0.363   |
| 119 | coco_20_DA_DM_segun_size |    mouse     |   0.553   | 0.472  | 0.491  |   0.362   |
| 120 | coco_20_DA_DM_segun_size |    remote    |   0.32    | 0.0671 | 0.0712 |  0.0394   |
| 121 | coco_20_DA_DM_segun_size |   keyboard   |   0.406   | 0.451  | 0.447  |   0.268   |
| 122 | coco_20_DA_DM_segun_size |  microwave   |   0.482   | 0.322  | 0.365  |   0.258   |
| 123 | coco_20_DA_DM_segun_size |     oven     |   0.464   | 0.266  |  0.29  |   0.156   |
| 124 | coco_20_DA_DM_segun_size |   toaster    |    1.0    |  0.0   | 0.156  |  0.0699   |
| 125 | coco_20_DA_DM_segun_size |     sink     |   0.453   | 0.373  | 0.348  |   0.199   |
| 126 | coco_20_DA_DM_segun_size | refrigerator |   0.468   | 0.389  | 0.399  |   0.281   |
| 127 | coco_20_DA_DM_segun_size |     book     |   0.242   | 0.0629 | 0.072  |  0.0288   |
| 128 | coco_20_DA_DM_segun_size |    clock     |   0.474   | 0.532  | 0.514  |   0.319   |
| 129 | coco_20_DA_DM_segun_size |     vase     |   0.42    | 0.203  | 0.208  |   0.129   |
| 130 | coco_20_DA_DM_segun_size |   scissors   |   0.611   | 0.0833 | 0.117  |  0.0667   |
| 131 | coco_20_DA_DM_segun_size |  toothbrush  |    0.0    |  0.0   | 0.0107 |  0.00457  |
| 132 |        coco_20_OG        |     all      |   0.666   | 0.537  | 0.582  |   0.426   |
| 133 |        coco_20_OG        |    person    |   0.788   | 0.723  | 0.802  |   0.582   |
| 134 |        coco_20_OG        |   bicycle    |   0.697   | 0.477  | 0.539  |   0.321   |
| 135 |        coco_20_OG        |     car      |   0.72    | 0.613  | 0.666  |   0.455   |
| 136 |        coco_20_OG        |  motorcycle  |   0.778   | 0.639  | 0.716  |   0.469   |
| 137 |        coco_20_OG        |   airplane   |   0.788   | 0.783  | 0.847  |   0.688   |
| 138 |        coco_20_OG        |     bus      |   0.819   | 0.721  |  0.82  |   0.703   |
| 139 |        coco_20_OG        |    train     |   0.804   | 0.816  | 0.868  |   0.708   |
| 140 |        coco_20_OG        |    truck     |    0.6    | 0.471  | 0.539  |   0.381   |
| 141 |        coco_20_OG        |     boat     |   0.646   | 0.383  | 0.498  |   0.276   |
| 142 |        coco_20_OG        |    bench     |   0.559   | 0.355  | 0.372  |   0.253   |
| 143 |        coco_20_OG        |     bird     |   0.718   | 0.419  | 0.495  |   0.343   |
| 144 |        coco_20_OG        |     cat      |   0.825   | 0.796  | 0.849  |   0.69    |
| 145 |        coco_20_OG        |     dog      |   0.722   | 0.711  | 0.748  |   0.618   |
| 146 |        coco_20_OG        |    horse     |   0.818   | 0.732  | 0.812  |   0.636   |
| 147 |        coco_20_OG        |    sheep     |   0.684   | 0.723  |  0.74  |   0.532   |
| 148 |        coco_20_OG        |     cow      |   0.758   | 0.691  | 0.752  |   0.567   |
| 149 |        coco_20_OG        |   elephant   |   0.777   | 0.865  | 0.854  |   0.658   |
| 150 |        coco_20_OG        |     bear     |   0.798   | 0.761  | 0.837  |   0.678   |
| 151 |        coco_20_OG        |    zebra     |   0.81    | 0.861  |  0.92  |   0.721   |
| 152 |        coco_20_OG        |   giraffe    |   0.881   | 0.866  |  0.9   |   0.721   |
| 153 |        coco_20_OG        |   backpack   |   0.531   |  0.24  | 0.258  |   0.146   |
| 154 |        coco_20_OG        |   umbrella   |   0.664   | 0.569  |  0.57  |   0.393   |
| 155 |        coco_20_OG        |   handbag    |   0.508   | 0.222  | 0.253  |   0.148   |
| 156 |        coco_20_OG        |     tie      |   0.748   | 0.464  | 0.514  |   0.35    |
| 157 |        coco_20_OG        |   suitcase   |   0.612   | 0.545  | 0.574  |   0.395   |
| 158 |        coco_20_OG        |   frisbee    |   0.783   | 0.774  | 0.831  |   0.665   |
| 159 |        coco_20_OG        |     skis     |   0.611   | 0.419  | 0.453  |   0.251   |
| 160 |        coco_20_OG        |  snowboard   |   0.617   | 0.391  |  0.45  |   0.334   |
| 161 |        coco_20_OG        |     kite     |   0.592   | 0.593  | 0.589  |   0.409   |
| 162 |        coco_20_OG        |  skateboard  |   0.77    | 0.754  | 0.768  |   0.567   |
| 163 |        coco_20_OG        |  surfboard   |   0.713   | 0.559  | 0.596  |   0.37    |
| 164 |        coco_20_OG        |    bottle    |   0.612   | 0.523  | 0.554  |   0.385   |
| 165 |        coco_20_OG        |     cup      |   0.628   | 0.542  | 0.576  |   0.428   |
| 166 |        coco_20_OG        |     fork     |   0.642   | 0.433  | 0.499  |   0.354   |
| 167 |        coco_20_OG        |    knife     |   0.492   |  0.24  | 0.256  |   0.16    |
| 168 |        coco_20_OG        |    spoon     |   0.469   | 0.265  | 0.288  |   0.188   |
| 169 |        coco_20_OG        |     bowl     |   0.616   | 0.514  |  0.57  |   0.437   |
| 170 |        coco_20_OG        |    banana    |   0.544   | 0.286  | 0.344  |   0.22    |
| 171 |        coco_20_OG        |    apple     |   0.44    | 0.203  | 0.228  |   0.159   |
| 172 |        coco_20_OG        |   sandwich   |   0.612   | 0.435  | 0.472  |   0.331   |
| 173 |        coco_20_OG        |    orange    |   0.518   | 0.326  | 0.339  |   0.266   |
| 174 |        coco_20_OG        |   broccoli   |   0.516   | 0.318  | 0.383  |   0.228   |
| 175 |        coco_20_OG        |    carrot    |   0.374   | 0.316  | 0.289  |   0.18    |
| 176 |        coco_20_OG        |    pizza     |   0.747   | 0.655  | 0.731  |   0.568   |
| 177 |        coco_20_OG        |    donut     |   0.499   |  0.53  | 0.484  |   0.387   |
| 178 |        coco_20_OG        |     cake     |   0.632   | 0.509  | 0.531  |   0.353   |
| 179 |        coco_20_OG        |    chair     |   0.623   | 0.445  | 0.498  |   0.322   |
| 180 |        coco_20_OG        |    couch     |   0.564   | 0.567  | 0.594  |   0.467   |
| 181 |        coco_20_OG        |     bed      |   0.709   | 0.577  | 0.647  |   0.477   |
| 182 |        coco_20_OG        |    toilet    |   0.726   | 0.682  | 0.748  |   0.615   |
| 183 |        coco_20_OG        |      tv      |   0.755   | 0.672  | 0.747  |   0.588   |
| 184 |        coco_20_OG        |    laptop    |   0.725   |  0.71  | 0.762  |   0.651   |
| 185 |        coco_20_OG        |    mouse     |   0.73    | 0.745  | 0.796  |   0.628   |
| 186 |        coco_20_OG        |    remote    |   0.603   | 0.442  | 0.494  |   0.315   |
| 187 |        coco_20_OG        |   keyboard   |   0.707   | 0.575  | 0.693  |   0.543   |
| 188 |        coco_20_OG        |  microwave   |   0.577   | 0.691  | 0.717  |   0.606   |
| 189 |        coco_20_OG        |     oven     |   0.608   | 0.503  |  0.53  |   0.344   |
| 190 |        coco_20_OG        |   toaster    |   0.608   | 0.333  | 0.491  |   0.329   |
| 191 |        coco_20_OG        |     sink     |   0.639   | 0.529  | 0.571  |   0.38    |
| 192 |        coco_20_OG        | refrigerator |   0.735   | 0.683  | 0.717  |   0.588   |
| 193 |        coco_20_OG        |     book     |   0.421   | 0.157  | 0.211  |   0.111   |
| 194 |        coco_20_OG        |    clock     |   0.729   |  0.67  | 0.705  |   0.501   |
| 195 |        coco_20_OG        |     vase     |   0.601   | 0.518  | 0.549  |   0.403   |
| 196 |        coco_20_OG        |   scissors   |   0.558   | 0.361  |  0.38  |   0.295   |
| 197 |        coco_20_OG        |  toothbrush  |   0.578   | 0.312  | 0.335  |   0.248   |
| 198 |    coco_20_DA_hibrid     |     all      |   0.685   | 0.533  | 0.591  |   0.438   |
| 199 |    coco_20_DA_hibrid     |    person    |   0.796   | 0.709  | 0.793  |   0.576   |
| 200 |    coco_20_DA_hibrid     |   bicycle    |   0.72    | 0.475  | 0.557  |   0.335   |
| 201 |    coco_20_DA_hibrid     |     car      |   0.716   | 0.587  | 0.652  |   0.448   |
| 202 |    coco_20_DA_hibrid     |  motorcycle  |   0.713   | 0.651  | 0.715  |   0.486   |
| 203 |    coco_20_DA_hibrid     |   airplane   |   0.805   | 0.825  |  0.89  |   0.708   |
| 204 |    coco_20_DA_hibrid     |     bus      |   0.808   | 0.761  | 0.837  |   0.713   |
| 205 |    coco_20_DA_hibrid     |    train     |   0.874   | 0.804  | 0.881  |   0.728   |
| 206 |    coco_20_DA_hibrid     |    truck     |   0.623   |  0.44  | 0.546  |   0.388   |
| 207 |    coco_20_DA_hibrid     |     boat     |   0.656   | 0.365  | 0.467  |   0.268   |
| 208 |    coco_20_DA_hibrid     |    bench     |   0.594   | 0.372  | 0.381  |   0.259   |
| 209 |    coco_20_DA_hibrid     |     bird     |   0.721   | 0.388  | 0.486  |   0.326   |
| 210 |    coco_20_DA_hibrid     |     cat      |   0.815   | 0.875  | 0.889  |   0.731   |
| 211 |    coco_20_DA_hibrid     |     dog      |   0.751   |  0.78  | 0.776  |   0.655   |
| 212 |    coco_20_DA_hibrid     |    horse     |   0.776   | 0.754  | 0.811  |   0.627   |
